Facility_ID,Overall Rating,Recommendation Score,Nurse Communication,Doctor Communication,Staff Responsiveness,Medicine Communication,Discharge Information,Care Transition,Cleanliness,Quietness
140101,91,91,94,92,88,80,90,84,90,78
140110,86,84,92,91,81,78,88,80,83,77
140113,89,88,92,91,84,76,88,81,89,82
140114,84,83,87,88,81,71,82,77,84,77
140116,88,88,92,90,84,78,86,82,90,86
140117,87,85,90,89,81,73,84,79,85,81
140119,90,91,92,91,82,77,88,82,85,87
140120,84,78,90,91,77,68,84,77,82,81
140122,87,86,91,91,82,72,87,80,91,83
140124,85,85,84,89,76,68,79,77,78,75
140125,69,64,83,81,70,68,71,71,71,75
140127,90,90,92,91,84,75,88,84,89,84
140130,89,90,91,91,80,74,88,83,87,85
140133,75,70,83,85,71,66,71,70,77,73
140135,85,83,89,88,80,72,85,80,86,81
140145,92,90,95,94,90,83,93,84,88,88
140147,88,88,92,94,84,77,85,80,86,84
140148,87,88,90,89,79,74,88,82,82,83
140150,86,85,89,90,82,73,82,79,81,77
140155,90,89,91,91,85,75,86,81,84,84
140158,81,78,84,88,74,67,77,78,79,82
140160,87,84,93,91,86,79,90,82,87,84
140161,88,86,93,93,86,81,89,83,91,82
140162,85,85,91,90,77,73,84,79,82,82
140164,86,86,90,91,82,74,86,79,87,82
140166,83,81,89,90,79,70,84,77,84,81
140172,84,81,88,87,78,74,83,78,82,82
140174,87,85,91,91,83,77,85,79,86,85
140179,88,87,92,90,80,77,81,80,87,83
140180,86,86,89,90,80,73,84,76,84,83
140182,87,86,91,90,83,77,88,81,84,76
140184,83,82,89,89,82,69,81,78,84,78
140185,90,90,93,92,87,81,90,83,85,88
140186,88,87,92,92,81,74,89,80,89,81
140187,91,91,93,92,86,79,87,83,80,89
140189,89,88,92,90,84,78,90,81,85,80
140191,75,71,83,85,64,64,74,71,78,74
140200,90,90,92,91,84,75,85,80,84,86
140202,87,86,91,89,80,75,87,80,91,83
140206,76,73,81,85,69,65,75,70,82,72
140208,86,85,92,90,84,74,86,80,80,77
140209,84,83,90,89,77,70,84,78,80,76
140211,91,92,93,93,84,81,88,83,89,86
140213,90,89,91,89,83,79,88,83,86,83
140217,85,81,89,87,75,70,85,78,84,82
140223,87,87,91,90,81,73,88,81,86,75
140224,87,86,90,91,78,77,85,80,86,83
140228,85,86,90,87,82,73,82,79,86,80
140231,88,89,91,91,83,74,84,81,77,83
140233,86,86,90,90,78,74,84,80,75,80
140239,87,84,90,90,82,75,87,80,90,83
140242,91,91,91,91,81,77,86,82,88,85
140251,63,56,75,77,63,59,67,66,74,62
140252,86,87,88,88,80,73,83,79,82,80
140258,86,84,89,88,79,73,85,77,88,82
140275,83,80,88,86,74,73,84,78,87,81
140276,85,83,90,91,77,73,87,80,78,78
140280,81,80,88,88,73,67,85,77,79,77
